date,spend,installs,trials,sold,fb,purchase,contact_info,form_submit,contact_sent,clicks,impressions
01.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
02.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
03.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
04.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
05.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
06.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
07.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
08.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
09.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
10.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
11.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
12.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
13.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
14.07.2026,0.0,5,4,2,4,0,0,0,0,0,0
15.07.2026,0.0,22,2,1,4,0,1,1,1,0,0
16.07.2026,0.0,479,32,9,72,8,10,16,10,0,0
17.07.2026,0.0,154,5,1,23,0,1,1,1,0,0
18.07.2026,0.0,310,9,4,32,2,4,8,4,0,0
19.07.2026,0.0,286,19,8,42,7,9,16,8,0,0
20.07.2026,0.0,313,21,8,59,4,9,14,9,0,0
21.07.2026,0.0,179,10,1,35,0,1,2,1,0,0
