date,spend,installs,trials,sold,fb,purchase,contact_info,form_submit,contact_sent,clicks,impressions
23.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
24.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
25.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
26.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
27.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
28.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
29.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
30.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
31.07.2026,0.0,0,0,0,0,0,0,0,0,0,0
01.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
02.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
03.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
04.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
05.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
06.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
07.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
08.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
09.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
10.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
11.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
12.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
13.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
14.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
15.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
16.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
17.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
18.08.2026,0.0,26,1,1,0,1,0,0,0,18,1606
19.08.2026,0.0,51,0,0,0,0,0,1,0,44,2328
20.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
21.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
22.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
23.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
24.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
25.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
26.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
27.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
28.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
29.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
30.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
31.08.2026,0.0,0,0,0,0,0,0,0,0,0,0
01.09.2026,0.0,0,0,0,0,0,0,0,0,0,0
02.09.2026,0.0,0,0,0,0,0,0,0,0,0,0
